Designator,Mid X,Mid Y,Rotation,Layer
C201,104.2,-64.8,180.0,top
C202,89.309,-65.278,180.0,top
C203,90.932,-64.135,90.0,top
C204,90.5005,-67.691,0.0,top
C205,92.329,-72.771,0.0,top
C206,93.0656,-62.2808,270.0,top
C207,96.647,-62.131,270.0,top
C208,95.6,-74.1,0.0,top
C209,85.73,-62.0,180.0,bottom
C210,90.424,-68.707,0.0,top
C211,101.6,-67.437,180.0,top
C215,101.68,-68.5,180.0,top
C301,92.8116,-79.756,0.0,top
C302,97.9932,-87.9856,90.0,top
C303,99.06,-87.9856,90.0,top
C304,100.9904,-87.9856,90.0,top
C305,92.964,-83.8708,0.0,top
C306,92.964,-81.7372,0.0,top
C307,104.6524,-85.7276,0.0,top
C308,86.0324,-86.0044,0.0,top
C309,83.848,-83.8532,180.0,top
C310,83.848,-82.7532,180.0,top
C311,68.4784,-69.7992,180.0,top
C312,83.0072,-73.914,90.0,top
C313,102.0572,-87.9856,270.0,top
C314,100.0252,-87.9856,270.0,top
C315,108.1,-78.2,90.0,top
C401,120.458,-66.047,90.0,top
C402,125.5,-66.7,270.0,top
C403,130.2,-64.9,270.0,top
C404,113.956,-65.115,180.0,top
C405,113.943,-63.464,180.0,top
D401,118.458,-68.217,180.0,top
D402,121.308,-62.517,90.0,top
D403,118.3,-72.3,180.0,top
F403,131.35,-72.6,180.0,top
FB301,106.3332,-83.4431,270.0,top
FB401,124.8,-63.7688,180.0,top
J201,107.975,-66.225,0.0,top
J202,111.73,-85.3,180.0,top
J203,62.638829,-64.833323,270.0,top
J301,76.3,-79.5,270.0,top
J401,137.75,-75.12,90.0,top
JP1,106.2,-79.8,90.0,top
L401,118.008,-64.167,180.0,top
Q401,131.2695,-75.692,0.0,top
Q402,131.2695,-79.375,0.0,top
Q403,131.2395,-82.997,0.0,top
R201,87.9348,-71.7296,90.0,top
R202,90.3752,-72.1868,0.0,top
R209,88.5705,-67.337,0.0,top
R210,88.5705,-66.287,0.0,top
R211,66.675,-62.992,270.0,top
R212,68.072,-62.992,90.0,top
R213,66.167,-66.421,90.0,top
R301,85.1408,-76.3692,180.0,top
R302,85.1408,-77.4192,180.0,top
R303,87.078,-83.9,180.0,top
R304,87.078,-82.7,180.0,top
R305,83.4408,-75.8592,90.0,top
R306,83.4408,-77.9692,270.0,top
R307,84.6836,-74.3712,0.0,top
R308,85.528,-82.2432,270.0,top
R309,85.528,-84.3432,90.0,top
R310,92.964,-82.804,180.0,top
R313,93.222,-74.8528,0.0,top
R314,93.22,-75.8952,0.0,top
R315,93.22,-76.9356,0.0,top
R401,117.2196,-69.9156,0.0,top
R402,115.34,-69.3588,90.0,top
R403,128.651,-75.311,270.0,top
R404,128.651,-78.996,270.0,top
R405,127.0,-74.803,0.0,top
R406,127.127,-78.486,0.0,top
R409,121.2,-72.3,180.0,top
R410,127.0,-81.407,0.0,top
R411,128.651,-81.026,90.0,top
SW201,88.9236,-74.4728,180.0,top
SW202,108.75,-62.25,180.0,top
U201,95.6555,-68.037,90.0,top
U202,85.852,-67.31,90.0,bottom
U203,104.625,-66.975,0.0,top
U301,99.7204,-81.2292,0.0,top
U302,107.6,-75.7,180.0,top
U401,122.708,-67.0795,90.0,top
