Designator,Mid X,Mid Y,Rotation,Layer
C101,91.368657,-117.057961,315.0,bottom
C102,71.57,-126.55,0.0,top
C103,100.0,-124.0,180.0,top
D101,85.3,-110.5,90.0,top
D102,94.75,-106.575,180.0,top
D103,89.3,-106.6,180.0,top
J101,74.2,-109.475,90.0,top
J102,90.45,-139.932,0.0,top
J103,82.98,-133.0,90.0,top
R101,85.25,-114.25,270.0,top
R102,75.75,-128.0,180.0,top
R103,76.25,-120.75,180.0,top
R104,72.56,-128.0,0.0,top
R105,72.56,-120.75,0.0,top
R106,97.4,-106.6,180.0,top
R107,83.09,-106.6,0.0,top
R108,80.51,-131.75,180.0,top
R109,80.49,-133.25,0.0,top
U101,92.85,-122.075,180.0,top
U102,76.65,-124.65,180.0,top
Y101,83.25,-125.92,270.0,top
